,case,component,date_range,ensemble,experiment,file_basename,files,grid,sequence_order,stream,variable,year_offset,ctrl_branch_year,has_ocean_bgc
27,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint001_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint001_sh.024901-031612.nc,,0,cice.h,aerosnoint001_sh,1699,,
28,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint002_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint002_nh.024901-031612.nc,,0,cice.h,aerosnoint002_nh,1699,,
29,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint002_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint002_sh.024901-031612.nc,,0,cice.h,aerosnoint002_sh,1699,,
30,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint003_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint003_nh.024901-031612.nc,,0,cice.h,aerosnoint003_nh,1699,,
31,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint003_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnoint003_sh.024901-031612.nc,,0,cice.h,aerosnoint003_sh,1699,,
32,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl001_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl001_nh.024901-031612.nc,,0,cice.h,aerosnossl001_nh,1699,,
33,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl001_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl001_sh.024901-031612.nc,,0,cice.h,aerosnossl001_sh,1699,,
34,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl002_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl002_nh.024901-031612.nc,,0,cice.h,aerosnossl002_nh,1699,,
35,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl002_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl002_sh.024901-031612.nc,,0,cice.h,aerosnossl002_sh,1699,,
36,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl003_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl003_nh.024901-031612.nc,,0,cice.h,aerosnossl003_nh,1699,,
